step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
269,2.573753,,,0.00008070,8814592,72681.56,0.7446,121.28
270,2.585403,,,0.00008100,8847360,72684.74,0.7446,121.72
271,2.580272,,,0.00008130,8880128,72687.83,0.7446,122.17
272,2.566765,,,0.00008160,8912896,72691.05,0.7446,122.61
273,2.573975,,,0.00008190,8945664,72694.49,0.7446,123.06
274,2.574609,,,0.00008220,8978432,72697.83,0.7446,123.50
275,2.587461,,,0.00008250,9011200,72700.85,0.7446,123.95
276,2.579252,,,0.00008280,9043968,72703.98,0.7446,124.39
277,2.588941,,,0.00008310,9076736,72706.70,0.7446,124.84
278,2.577817,,,0.00008340,9109504,72709.86,0.7446,125.29
279,2.564980,,,0.00008370,9142272,72712.50,0.7446,125.73
280,2.574339,,,0.00008400,9175040,72715.69,0.7446,126.18
281,2.575514,,,0.00008430,9207808,72718.71,0.7446,126.62
282,2.556329,,,0.00008460,9240576,72721.42,0.7446,127.07
283,2.576592,,,0.00008490,9273344,72724.39,0.7446,127.51
284,2.569938,,,0.00008520,9306112,72726.99,0.7446,127.96
285,2.579757,,,0.00008550,9338880,72730.13,0.7446,128.40
286,2.575076,,,0.00008580,9371648,72732.71,0.7446,128.85
287,2.589133,,,0.00008610,9404416,72735.39,0.7446,129.30
288,2.551016,,,0.00008640,9437184,72738.40,0.7446,129.74
289,2.562065,,,0.00008670,9469952,72741.07,0.7446,130.19
290,2.572026,,,0.00008700,9502720,72743.82,0.7446,130.63
291,2.553200,,,0.00008730,9535488,72746.39,0.7446,131.08
292,2.539451,,,0.00008760,9568256,72749.12,0.7446,131.52
293,2.568315,,,0.00008790,9601024,72751.83,0.7446,131.97
294,2.570286,,,0.00008820,9633792,72754.46,0.7446,132.42
295,2.566006,,,0.00008850,9666560,72757.35,0.7446,132.86
296,2.570501,,,0.00008880,9699328,72760.06,0.7446,133.31
297,2.580704,,,0.00008910,9732096,72762.58,0.7446,133.75
298,2.582542,,,0.00008940,9764864,72764.94,0.7446,134.20
299,2.548936,,,0.00008970,9797632,72767.33,0.7446,134.64
300,2.571399,,,0.00009000,9830400,72769.84,0.7446,135.09
301,2.569800,,,0.00009030,9863168,72772.02,0.7446,135.54
302,2.566155,,,0.00009060,9895936,72774.19,0.7446,135.98
303,2.557765,,,0.00009090,9928704,72776.72,0.7446,136.43
304,2.565221,,,0.00009120,9961472,72779.05,0.7446,136.87
305,2.551961,,,0.00009150,9994240,72781.21,0.7446,137.32
306,2.577516,,,0.00009180,10027008,72783.58,0.7446,137.76
307,2.547485,,,0.00009210,10059776,72785.80,0.7446,138.21
308,2.577412,,,0.00009240,10092544,72788.48,0.7446,138.66
309,2.570761,,,0.00009270,10125312,72790.97,0.7446,139.10
310,2.570050,,,0.00009300,10158080,72793.49,0.7446,139.55
311,2.575222,,,0.00009330,10190848,72796.06,0.7446,139.99
312,2.572696,,,0.00009360,10223616,72798.30,0.7446,140.44
313,2.563263,,,0.00009390,10256384,72800.97,0.7446,140.88
314,2.570051,,,0.00009420,10289152,72803.18,0.7446,141.33
315,2.553497,,,0.00009450,10321920,72805.65,0.7446,141.77
316,2.544899,,,0.00009480,10354688,72807.69,0.7446,142.22
317,2.552241,,,0.00009510,10387456,72809.97,0.7446,142.67
318,2.551762,,,0.00009540,10420224,72811.94,0.7446,143.11
319,2.548376,,,0.00009570,10452992,72814.12,0.7446,143.56
320,2.555257,,,0.00009600,10485760,72816.31,0.7446,144.00
321,2.569080,,,0.00009630,10518528,72818.07,0.7446,144.45
322,2.553588,,,0.00009660,10551296,72820.41,0.7446,144.89
323,2.544204,,,0.00009690,10584064,72822.46,0.7446,145.34
324,2.549636,,,0.00009720,10616832,72824.74,0.7446,145.79
325,2.531507,,,0.00009750,10649600,72826.37,0.7446,146.23
326,2.552500,,,0.00009780,10682368,72828.52,0.7446,146.68
327,2.553482,,,0.00009810,10715136,72830.34,0.7446,147.12
328,2.560445,,,0.00009840,10747904,72832.21,0.7446,147.57
329,2.534535,,,0.00009870,10780672,72834.14,0.7446,148.02
330,2.547740,,,0.00009900,10813440,72836.03,0.7446,148.46
331,2.531716,,,0.00009930,10846208,72838.36,0.7446,148.91
332,2.532869,,,0.00009960,10878976,72840.34,0.7446,149.35
333,2.540621,,,0.00009990,10911744,72842.36,0.7446,149.80
334,2.535066,,,0.00010020,10944512,72844.28,0.7446,150.25
335,2.529198,,,0.00010050,10977280,72846.19,0.7446,150.69
336,2.575110,,,0.00010080,11010048,72848.32,0.7446,151.14
337,2.556763,,,0.00010110,11042816,72850.09,0.7446,151.58
338,2.557241,,,0.00010140,11075584,72851.86,0.7446,152.03
339,2.537952,,,0.00010170,11108352,72853.45,0.7446,152.48
340,2.543538,,,0.00010200,11141120,72855.23,0.7446,152.92
341,2.535731,,,0.00010230,11173888,72856.93,0.7446,153.37
342,2.561325,,,0.00010260,11206656,72858.84,0.7446,153.81
343,2.556650,,,0.00010290,11239424,72860.49,0.7446,154.26
344,2.529989,,,0.00010320,11272192,72862.48,0.7446,154.71
345,2.544831,,,0.00010350,11304960,72864.07,0.7446,155.15
346,2.541773,,,0.00010380,11337728,72865.81,0.7446,155.60
347,2.558578,,,0.00010410,11370496,72867.51,0.7446,156.04
348,2.541039,,,0.00010440,11403264,72869.37,0.7446,156.49
349,2.545952,,,0.00010470,11436032,72870.84,0.7446,156.94
350,2.539589,,,0.00010500,11468800,72872.78,0.7446,157.38
351,2.510018,,,0.00010530,11501568,72874.37,0.7446,157.83
352,2.536448,,,0.00010560,11534336,72875.98,0.7446,158.27
353,2.556901,,,0.00010590,11567104,72877.60,0.7446,158.72
354,2.556186,,,0.00010620,11599872,72879.12,0.7446,159.17
355,2.562595,,,0.00010650,11632640,72880.74,0.7446,159.61
356,2.551527,,,0.00010680,11665408,72882.02,0.7446,160.06
357,2.512709,,,0.00010710,11698176,72883.70,0.7446,160.50
358,2.556512,,,0.00010740,11730944,72885.11,0.7446,160.95
359,2.523916,,,0.00010770,11763712,72886.58,0.7446,161.40
360,2.508287,,,0.00010800,11796480,72887.93,0.7446,161.84
361,2.570153,,,0.00010830,11829248,72889.30,0.7446,162.29
362,2.539108,,,0.00010860,11862016,72891.02,0.7446,162.74
363,2.554369,,,0.00010890,11894784,72892.33,0.7446,163.18
364,2.533825,,,0.00010920,11927552,72894.07,0.7446,163.63
365,2.560230,,,0.00010950,11960320,72895.47,0.7446,164.07
366,2.568617,,,0.00010980,11993088,72897.06,0.7446,164.52
367,2.549428,,,0.00011010,12025856,72898.46,0.7446,164.97
368,2.537448,,,0.00011040,12058624,72899.90,0.7446,165.41
369,2.535098,,,0.00011070,12091392,72900.95,0.7446,165.86
370,2.527811,,,0.00011100,12124160,72902.36,0.7446,166.31
371,2.524560,,,0.00011130,12156928,72903.82,0.7446,166.75
372,2.547599,,,0.00011160,12189696,72905.19,0.7446,167.20
373,2.562325,,,0.00011190,12222464,72906.65,0.7446,167.65
374,2.553445,,,0.00011220,12255232,72907.94,0.7446,168.09
375,2.537491,,,0.00011250,12288000,72909.33,0.7446,168.54
376,2.542350,,,0.00011280,12320768,72910.69,0.7446,168.98
377,2.556589,,,0.00011310,12353536,72912.02,0.7446,169.43
378,2.525586,,,0.00011340,12386304,72913.61,0.7446,169.88
379,2.558045,,,0.00011370,12419072,72914.89,0.7446,170.32
380,2.525937,,,0.00011400,12451840,72916.13,0.7446,170.77
381,2.547044,,,0.00011430,12484608,72917.38,0.7446,171.22
382,2.518528,,,0.00011460,12517376,72918.14,0.7446,171.66
383,2.540195,,,0.00011490,12550144,72919.34,0.7446,172.11
384,2.537363,,,0.00011520,12582912,72920.43,0.7446,172.56
385,2.536001,,,0.00011550,12615680,72921.49,0.7446,173.00
386,2.521952,,,0.00011580,12648448,72923.09,0.7446,173.45
387,2.526034,,,0.00011610,12681216,72924.25,0.7446,173.90
388,2.560195,,,0.00011640,12713984,72925.38,0.7446,174.34
389,2.535982,,,0.00011670,12746752,72926.84,0.7446,174.79
390,2.530397,,,0.00011700,12779520,72927.82,0.7446,175.24
391,2.530710,,,0.00011730,12812288,72929.14,0.7446,175.68
392,2.535136,,,0.00011760,12845056,72930.47,0.7446,176.13
393,2.507245,,,0.00011790,12877824,72931.70,0.7446,176.57
394,2.534822,,,0.00011820,12910592,72933.00,0.7446,177.02
395,2.541729,,,0.00011850,12943360,72934.12,0.7446,177.47
396,2.517348,,,0.00011880,12976128,72935.42,0.7446,177.91
397,2.535663,,,0.00011910,13008896,72936.74,0.7446,178.36
398,2.529973,,,0.00011940,13041664,72937.97,0.7446,178.80
399,2.512985,,,0.00011970,13074432,72939.16,0.7446,179.25
400,2.542363,,,0.00012000,13107200,72940.58,0.7446,179.70
401,2.531437,,,0.00012030,13139968,72941.75,0.7446,180.14
402,2.509567,,,0.00012060,13172736,72943.00,0.7446,180.59
403,2.501308,,,0.00012090,13205504,72944.20,0.7446,181.04
404,2.564841,,,0.00012120,13238272,72945.32,0.7446,181.48
405,2.528450,,,0.00012150,13271040,72946.77,0.7446,181.93
406,2.540465,,,0.00012180,13303808,72947.83,0.7446,182.37
407,2.494386,,,0.00012210,13336576,72949.21,0.7446,182.82
408,2.520832,,,0.00012240,13369344,72950.48,0.7446,183.27
409,2.522445,,,0.00012270,13402112,72951.84,0.7446,183.71
410,2.538320,,,0.00012300,13434880,72953.12,0.7446,184.16
411,2.544037,,,0.00012330,13467648,72954.12,0.7446,184.60
412,2.489841,,,0.00012360,13500416,72955.12,0.7446,185.05
413,2.530575,,,0.00012390,13533184,72956.35,0.7446,185.50
414,2.538305,,,0.00012420,13565952,72957.49,0.7446,185.94
415,2.515320,,,0.00012450,13598720,72958.48,0.7446,186.39
416,2.540817,,,0.00012480,13631488,72959.65,0.7446,186.84
417,2.533391,,,0.00012510,13664256,72960.79,0.7446,187.28
418,2.543285,,,0.00012540,13697024,72962.12,0.7446,187.73
419,2.517398,,,0.00012570,13729792,72963.07,0.7446,188.17
420,2.516691,,,0.00012600,13762560,72964.00,0.7446,188.62
