step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
253,5.124548,,0.00002647,518144,3.50
254,5.002682,,0.00002541,520192,3.51
255,5.034691,,0.00002437,522240,3.52
256,5.060130,,0.00002335,524288,3.53
257,5.048586,,0.00002235,526336,3.54
258,5.194182,,0.00002137,528384,3.56
259,5.092026,,0.00002041,530432,3.57
260,5.065986,,0.00001947,532480,3.58
261,5.119327,,0.00001855,534528,3.59
262,5.221914,,0.00001766,536576,3.60
263,5.103738,,0.00001678,538624,3.61
264,5.058382,,0.00001592,540672,3.63
265,5.081303,,0.00001509,542720,3.64
266,5.102513,,0.00001428,544768,3.66
267,4.968331,,0.00001348,546816,3.67
268,5.079489,,0.00001271,548864,3.68
269,5.064814,,0.00001197,550912,3.69
270,5.138091,,0.00001124,552960,3.70
271,5.104004,,0.00001053,555008,3.72
272,5.014810,,0.00000985,557056,3.73
273,5.079548,,0.00000919,559104,3.74
274,4.987190,,0.00000855,561152,3.75
275,5.004438,,0.00000794,563200,3.76
276,5.185145,,0.00000734,565248,3.77
277,5.133556,,0.00000677,567296,3.78
278,5.061290,,0.00000622,569344,3.79
279,5.167493,,0.00000570,571392,3.80
280,5.140168,,0.00000519,573440,3.81
281,5.071677,,0.00000471,575488,3.82
282,5.088693,,0.00000426,577536,3.84
283,5.114178,,0.00000382,579584,3.85
284,5.212686,,0.00000341,581632,3.86
285,5.064897,,0.00000302,583680,3.87
286,5.123934,,0.00000266,585728,3.88
287,5.001316,,0.00000232,587776,3.89
288,5.041814,,0.00000200,589824,3.90
289,5.046268,,0.00000170,591872,3.91
290,5.120178,,0.00000143,593920,3.92
291,5.175023,,0.00000118,595968,3.93
292,5.052474,,0.00000096,598016,3.94
293,5.135100,,0.00000076,600064,3.95
294,5.107058,,0.00000058,602112,3.96
295,5.017524,,0.00000043,604160,3.97
296,5.091496,,0.00000030,606208,3.98
297,5.005499,,0.00000019,608256,3.99
298,5.140605,,0.00000011,610304,4.00
299,5.039304,,0.00000005,612352,4.01
300,5.096607,2.519621,0.00000001,614400,4.09
