step,train_loss,val_loss,lr,tokens_seen,elapsed_sec
267,15.154453,,0.00001348,546816,4.84
268,15.159620,,0.00001271,548864,4.85
269,15.325472,,0.00001197,550912,4.87
270,15.117727,,0.00001124,552960,4.89
271,15.203241,,0.00001053,555008,4.90
272,15.600157,,0.00000985,557056,4.92
273,15.309608,,0.00000919,559104,4.93
274,15.434856,,0.00000855,561152,4.95
275,15.241741,,0.00000794,563200,4.96
276,15.231398,,0.00000734,565248,4.98
277,15.354519,,0.00000677,567296,4.99
278,15.392845,,0.00000622,569344,5.01
279,15.124563,,0.00000570,571392,5.02
280,15.177271,,0.00000519,573440,5.04
281,15.295750,,0.00000471,575488,5.06
282,15.233988,,0.00000426,577536,5.07
283,15.397423,,0.00000382,579584,5.09
284,15.306675,,0.00000341,581632,5.10
285,15.162409,,0.00000302,583680,5.11
286,15.275391,,0.00000266,585728,5.13
287,15.248062,,0.00000232,587776,5.14
288,15.323299,,0.00000200,589824,5.16
289,15.420256,,0.00000170,591872,5.17
290,15.323914,,0.00000143,593920,5.19
291,15.374189,,0.00000118,595968,5.20
292,15.495596,,0.00000096,598016,5.22
293,15.481277,,0.00000076,600064,5.23
294,15.149523,,0.00000058,602112,5.25
295,15.410723,,0.00000043,604160,5.26
296,15.246111,,0.00000030,606208,5.28
297,15.275713,,0.00000019,608256,5.29
298,15.433348,,0.00000011,610304,5.31
299,15.174969,,0.00000005,612352,5.32
300,15.382959,7.591602,0.00000001,614400,5.43
