step,train_loss,val_loss,bpc,lr,tokens_seen,tokens_per_sec,peak_vram_gb,elapsed_sec
169,28.013429,,,0.00005070,5537792,49475.72,2.6403,111.93
170,28.020147,,,0.00005100,5570560,49497.97,2.6403,112.54
171,27.912119,,,0.00005130,5603328,49520.06,2.6403,113.15
172,27.995407,,,0.00005160,5636096,49543.08,2.6403,113.76
173,27.899287,,,0.00005190,5668864,49565.57,2.6403,114.37
174,27.877711,,,0.00005220,5701632,49586.64,2.6403,114.98
175,28.101305,,,0.00005250,5734400,49603.19,2.6403,115.61
176,28.048562,,,0.00005280,5767168,49622.93,2.6403,116.22
177,28.110036,,,0.00005310,5799936,49637.91,2.6403,116.84
178,27.946192,,,0.00005340,5832704,49659.48,2.6403,117.45
179,27.784876,,,0.00005370,5865472,49679.59,2.6403,118.07
180,27.797328,,,0.00005400,5898240,49699.29,2.6403,118.68
181,27.969196,,,0.00005430,5931008,49720.12,2.6403,119.29
182,27.588019,,,0.00005460,5963776,49739.26,2.6403,119.90
183,27.993263,,,0.00005490,5996544,49758.15,2.6403,120.51
184,27.967070,,,0.00005520,6029312,49776.08,2.6403,121.13
185,27.767987,,,0.00005550,6062080,49794.63,2.6403,121.74
186,27.837514,,,0.00005580,6094848,49812.82,2.6403,122.36
187,27.618386,,,0.00005610,6127616,49830.20,2.6403,122.97
188,27.657324,,,0.00005640,6160384,49845.70,2.6403,123.59
189,27.653456,,,0.00005670,6193152,49863.60,2.6403,124.20
190,27.752610,,,0.00005700,6225920,49882.91,2.6403,124.81
191,27.664161,,,0.00005730,6258688,49902.21,2.6403,125.42
192,27.727426,,,0.00005760,6291456,49920.92,2.6403,126.03
193,27.667899,,,0.00005790,6324224,49938.85,2.6403,126.64
194,27.462822,,,0.00005820,6356992,49952.16,2.6403,127.26
195,27.370294,,,0.00005850,6389760,49968.38,2.6403,127.88
196,27.399159,,,0.00005880,6422528,49986.86,2.6403,128.48
197,27.576340,,,0.00005910,6455296,50004.50,2.6403,129.09
198,27.410892,,,0.00005940,6488064,50022.63,2.6403,129.70
199,27.550385,,,0.00005970,6520832,50039.78,2.6403,130.31
200,27.547596,,,0.00006000,6553600,50049.85,2.6403,130.94
201,27.452330,,,0.00006030,6586368,50064.67,2.6403,131.56
202,27.295951,,,0.00006060,6619136,50078.55,2.6403,132.18
203,27.542756,,,0.00006090,6651904,50093.97,2.6403,132.79
204,27.411924,,,0.00006120,6684672,50108.61,2.6403,133.40
205,27.287863,,,0.00006150,6717440,50123.93,2.6403,134.02
206,27.463306,,,0.00006180,6750208,50140.33,2.6403,134.63
207,27.222246,,,0.00006210,6782976,50152.74,2.6403,135.25
208,27.356829,,,0.00006240,6815744,50167.04,2.6403,135.86
209,27.373063,,,0.00006270,6848512,50183.46,2.6403,136.47
210,27.614386,,,0.00006300,6881280,50198.98,2.6403,137.08
211,26.957440,,,0.00006330,6914048,50212.70,2.6403,137.70
212,27.346845,,,0.00006360,6946816,50228.33,2.6403,138.30
213,27.095782,,,0.00006390,6979584,50238.49,2.6403,138.93
214,26.937383,,,0.00006420,7012352,50250.36,2.6403,139.55
215,26.933863,,,0.00006450,7045120,50262.89,2.6403,140.17
216,27.360295,,,0.00006480,7077888,50274.48,2.6403,140.78
217,27.274868,,,0.00006510,7110656,50287.71,2.6403,141.40
218,27.200774,,,0.00006540,7143424,50300.32,2.6403,142.02
219,26.875443,,,0.00006570,7176192,50310.32,2.6403,142.64
220,26.836024,,,0.00006600,7208960,50322.62,2.6403,143.25
221,26.673563,,,0.00006630,7241728,50335.74,2.6403,143.87
222,26.515860,,,0.00006660,7274496,50348.84,2.6403,144.48
223,26.418015,,,0.00006690,7307264,50362.22,2.6403,145.09
224,27.020738,,,0.00006720,7340032,50373.71,2.6403,145.71
225,26.510351,,,0.00006750,7372800,50385.17,2.6403,146.33
226,26.741165,,,0.00006780,7405568,50395.24,2.6403,146.95
227,26.691569,,,0.00006810,7438336,50405.87,2.6403,147.57
228,26.489717,,,0.00006840,7471104,50416.23,2.6403,148.19
229,27.052572,,,0.00006870,7503872,50426.82,2.6403,148.81
230,26.660648,,,0.00006900,7536640,50437.47,2.6403,149.43
231,26.820586,,,0.00006930,7569408,50447.48,2.6403,150.05
232,27.044845,,,0.00006960,7602176,50458.24,2.6403,150.66
233,26.970525,,,0.00006990,7634944,50467.70,2.6403,151.28
234,26.723299,,,0.00007020,7667712,50472.87,2.6403,151.92
235,26.799921,,,0.00007050,7700480,50482.28,2.6403,152.54
236,26.698704,,,0.00007080,7733248,50492.54,2.6403,153.16
237,26.741572,,,0.00007110,7766016,50502.82,2.6403,153.77
238,26.522663,,,0.00007140,7798784,50517.22,2.6403,154.38
239,26.300897,,,0.00007170,7831552,50529.65,2.6403,154.99
240,25.463636,,,0.00007200,7864320,50536.43,2.6403,155.62
241,26.257658,,,0.00007230,7897088,50545.61,2.6403,156.24
242,25.950819,,,0.00007260,7929856,50557.15,2.6403,156.85
243,26.198298,,,0.00007290,7962624,50562.87,2.6403,157.48
244,25.701549,,,0.00007320,7995392,50575.48,2.6403,158.09
245,26.437314,,,0.00007350,8028160,50587.46,2.6403,158.70
246,26.107868,,,0.00007380,8060928,50598.46,2.6403,159.31
247,26.179533,,,0.00007410,8093696,50603.52,2.6403,159.94
248,26.240586,,,0.00007440,8126464,50612.14,2.6403,160.56
249,26.181642,,,0.00007470,8159232,50620.22,2.6403,161.19
250,25.981411,,,0.00007500,8192000,50621.59,2.6403,161.83
251,26.310148,,,0.00007530,8224768,50629.54,2.6403,162.45
252,25.728825,,,0.00007560,8257536,50634.69,2.6403,163.08
253,26.354580,,,0.00007590,8290304,50640.52,2.6403,163.71
254,26.048393,,,0.00007620,8323072,50650.69,2.6403,164.32
255,25.822859,,,0.00007650,8355840,50657.71,2.6403,164.95
256,25.793020,,,0.00007680,8388608,50666.18,2.6403,165.57
257,26.275786,,,0.00007710,8421376,50674.34,2.6403,166.19
258,26.176106,,,0.00007740,8454144,50682.92,2.6403,166.80
259,25.887260,,,0.00007770,8486912,50690.74,2.6403,167.43
260,26.281166,,,0.00007800,8519680,50701.14,2.6403,168.04
261,25.887951,,,0.00007830,8552448,50711.18,2.6403,168.65
262,26.601646,,,0.00007860,8585216,50720.91,2.6403,169.26
263,25.674621,,,0.00007890,8617984,50730.58,2.6403,169.88
264,25.759717,,,0.00007920,8650752,50741.78,2.6403,170.49
265,26.150916,,,0.00007950,8683520,50751.75,2.6403,171.10
266,25.372575,,,0.00007980,8716288,50762.81,2.6403,171.71
267,25.719754,,,0.00008010,8749056,50774.03,2.6403,172.31
268,25.894273,,,0.00008040,8781824,50784.78,2.6403,172.92
269,25.159873,,,0.00008070,8814592,50795.30,2.6403,173.53
270,25.958416,,,0.00008100,8847360,50806.19,2.6403,174.14
271,25.959443,,,0.00008130,8880128,50816.70,2.6403,174.75
272,25.726197,,,0.00008160,8912896,50826.95,2.6403,175.36
273,25.525726,,,0.00008190,8945664,50837.64,2.6403,175.97
274,25.610174,,,0.00008220,8978432,50847.52,2.6403,176.58
275,25.682866,,,0.00008250,9011200,50858.61,2.6403,177.18
276,25.158184,,,0.00008280,9043968,50868.63,2.6403,177.79
277,25.660244,,,0.00008310,9076736,50879.28,2.6403,178.40
278,25.050583,,,0.00008340,9109504,50889.45,2.6403,179.01
279,26.001232,,,0.00008370,9142272,50899.41,2.6403,179.61
280,24.929202,,,0.00008400,9175040,50910.06,2.6403,180.22
281,25.270679,,,0.00008430,9207808,50919.92,2.6403,180.83
282,25.727808,,,0.00008460,9240576,50930.00,2.6403,181.44
283,25.490889,,,0.00008490,9273344,50939.96,2.6403,182.04
284,25.602724,,,0.00008520,9306112,50949.93,2.6403,182.65
285,25.640428,,,0.00008550,9338880,50960.26,2.6403,183.26
286,25.219548,,,0.00008580,9371648,50970.16,2.6403,183.87
287,25.313515,,,0.00008610,9404416,50979.89,2.6403,184.47
288,24.582042,,,0.00008640,9437184,50989.62,2.6403,185.08
289,25.198242,,,0.00008670,9469952,50999.39,2.6403,185.69
290,25.581581,,,0.00008700,9502720,51009.05,2.6403,186.29
291,25.099079,,,0.00008730,9535488,51018.54,2.6403,186.90
292,25.001313,,,0.00008760,9568256,51028.23,2.6403,187.51
293,25.409986,,,0.00008790,9601024,51037.77,2.6403,188.12
294,25.141783,,,0.00008820,9633792,51047.34,2.6403,188.72
295,24.463686,,,0.00008850,9666560,51056.98,2.6403,189.33
296,25.145584,,,0.00008880,9699328,51066.62,2.6403,189.93
297,25.279077,,,0.00008910,9732096,51075.97,2.6403,190.54
298,25.200090,,,0.00008940,9764864,51085.08,2.6403,191.15
299,25.333827,,,0.00008970,9797632,51093.93,2.6403,191.76
300,24.991507,,,0.00009000,9830400,51103.10,2.6403,192.36
301,25.279168,,,0.00009030,9863168,51111.74,2.6403,192.97
302,25.395427,,,0.00009060,9895936,51120.46,2.6403,193.58
303,24.956329,,,0.00009090,9928704,51129.53,2.6403,194.19
304,25.536430,,,0.00009120,9961472,51138.46,2.6403,194.79
305,25.154616,,,0.00009150,9994240,51147.15,2.6403,195.40
306,25.441872,,,0.00009180,10027008,51155.91,2.6403,196.01
307,25.117103,,,0.00009210,10059776,51164.55,2.6403,196.62
308,24.437770,,,0.00009240,10092544,51172.74,2.6403,197.23
309,24.270603,,,0.00009270,10125312,51181.27,2.6403,197.83
310,25.018714,,,0.00009300,10158080,51189.77,2.6403,198.44
311,25.063429,,,0.00009330,10190848,51198.26,2.6403,199.05
312,25.383115,,,0.00009360,10223616,51206.48,2.6403,199.65
313,24.874979,,,0.00009390,10256384,51214.38,2.6403,200.26
314,24.817576,,,0.00009420,10289152,51222.81,2.6403,200.87
315,24.052954,,,0.00009450,10321920,51230.91,2.6403,201.48
316,24.089747,,,0.00009480,10354688,51239.05,2.6403,202.09
317,24.658773,,,0.00009510,10387456,51247.27,2.6403,202.69
318,24.563595,,,0.00009540,10420224,51255.15,2.6403,203.30
319,24.091897,,,0.00009570,10452992,51262.79,2.6403,203.91
320,24.988716,,,0.00009600,10485760,51270.90,2.6403,204.52
321,24.359241,,,0.00009630,10518528,51278.67,2.6403,205.12
322,25.151844,,,0.00009660,10551296,51286.28,2.6403,205.73
323,23.719515,,,0.00009690,10584064,51291.09,2.6403,206.35
324,24.664086,,,0.00009720,10616832,51295.20,2.6403,206.98
325,23.964061,,,0.00009750,10649600,51302.65,2.6403,207.58
326,24.546920,,,0.00009780,10682368,51309.99,2.6403,208.19
327,24.064967,,,0.00009810,10715136,51317.27,2.6403,208.80
328,24.907655,,,0.00009840,10747904,51324.77,2.6403,209.41
329,24.762291,,,0.00009870,10780672,51331.78,2.6403,210.02
330,24.644528,,,0.00009900,10813440,51337.15,2.6403,210.64
331,23.626245,,,0.00009930,10846208,51344.88,2.6403,211.24
332,23.921210,,,0.00009960,10878976,51352.06,2.6403,211.85
333,25.072828,,,0.00009990,10911744,51359.70,2.6403,212.46
334,23.608967,,,0.00010020,10944512,51366.51,2.6403,213.07
335,24.642985,,,0.00010050,10977280,51373.46,2.6403,213.68
336,24.924634,,,0.00010080,11010048,51380.85,2.6403,214.28
337,24.553897,,,0.00010110,11042816,51387.42,2.6403,214.89
338,24.816977,,,0.00010140,11075584,51391.86,2.6403,215.51
339,24.503685,,,0.00010170,11108352,51398.49,2.6403,216.12
340,24.719376,,,0.00010200,11141120,51405.01,2.6403,216.73
341,23.771179,,,0.00010230,11173888,51411.82,2.6403,217.34
342,24.126994,,,0.00010260,11206656,51418.63,2.6403,217.95
343,24.713377,,,0.00010290,11239424,51425.22,2.6403,218.56
344,24.246418,,,0.00010320,11272192,51431.76,2.6403,219.17
345,23.686751,,,0.00010350,11304960,51438.13,2.6403,219.78
346,23.551143,,,0.00010380,11337728,51443.82,2.6403,220.39
347,24.568878,,,0.00010410,11370496,51450.67,2.6403,221.00
348,23.981272,,,0.00010440,11403264,51456.81,2.6403,221.61
349,25.030540,,,0.00010470,11436032,51463.00,2.6403,222.22
350,23.993115,,,0.00010500,11468800,51469.50,2.6403,222.83
351,24.146878,,,0.00010530,11501568,51476.21,2.6403,223.43
352,24.179627,,,0.00010560,11534336,51481.37,2.6403,224.05
353,23.854419,,,0.00010590,11567104,51485.34,2.6403,224.67
354,23.785352,,,0.00010620,11599872,51491.97,2.6403,225.28
355,24.220765,,,0.00010650,11632640,51498.04,2.6403,225.89
356,23.759744,,,0.00010680,11665408,51503.55,2.6403,226.50
357,24.566599,,,0.00010710,11698176,51508.55,2.6403,227.11
358,24.381047,,,0.00010740,11730944,51512.86,2.6403,227.73
359,24.107512,,,0.00010770,11763712,51518.28,2.6403,228.34
360,24.114988,,,0.00010800,11796480,51522.59,2.6403,228.96
361,23.836193,,,0.00010830,11829248,51526.59,2.6403,229.58
362,24.163663,,,0.00010860,11862016,51531.76,2.6403,230.19
363,24.368413,,,0.00010890,11894784,51536.70,2.6403,230.80
364,23.597103,,,0.00010920,11927552,51541.39,2.6403,231.42
365,23.462913,,,0.00010950,11960320,51545.10,2.6403,232.04
366,23.994173,,,0.00010980,11993088,51550.45,2.6403,232.65
367,24.190560,,,0.00011010,12025856,51555.48,2.6403,233.26
368,24.747824,,,0.00011040,12058624,51559.96,2.6403,233.88
369,24.161009,,,0.00011070,12091392,51564.55,2.6403,234.49
370,23.457544,,,0.00011100,12124160,51568.30,2.6403,235.11
371,23.743476,,,0.00011130,12156928,51572.07,2.6403,235.73
372,23.786784,,,0.00011160,12189696,51577.67,2.6403,236.34
373,23.899195,,,0.00011190,12222464,51578.56,2.6403,236.97
374,23.984836,,,0.00011220,12255232,51580.95,2.6403,237.59
375,23.891310,,,0.00011250,12288000,51585.19,2.6403,238.21
376,23.460623,,,0.00011280,12320768,51588.49,2.6403,238.83
377,23.642917,,,0.00011310,12353536,51592.70,2.6403,239.44
378,22.742769,,,0.00011340,12386304,51598.47,2.6403,240.05
379,23.612487,,,0.00011370,12419072,51597.63,2.6403,240.69
380,24.342859,,,0.00011400,12451840,51598.08,2.6403,241.32
381,24.516258,,,0.00011430,12484608,51602.81,2.6403,241.94
382,24.142757,,,0.00011460,12517376,51596.12,2.6403,242.60
383,23.370539,,,0.00011490,12550144,51600.96,2.6403,243.22
384,22.632718,,,0.00011520,12582912,51603.26,2.6403,243.84
385,23.813876,,,0.00011550,12615680,51606.35,2.6403,244.46
386,24.308914,,,0.00011580,12648448,51611.86,2.6403,245.07
387,22.753314,,,0.00011610,12681216,51616.13,2.6403,245.68
388,23.461967,,,0.00011640,12713984,51621.60,2.6403,246.29
389,23.443167,,,0.00011670,12746752,51627.29,2.6403,246.90
